               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.023053,           0.0066528,           0.0003507,             0.90441,             0.89167,             0.91604,             0.50704,            0.036303,            0.006781,          0.00044121,            0.003994,            0.003994,            0.003994
                  93,            0.022488,           0.0073981,          0.00032629,             0.93005,               0.883,             0.92537,             0.49061,            0.035726,           0.0068451,          0.00039098,            0.003928,            0.003928,            0.003928
                  94,              0.0227,           0.0069006,          0.00028648,             0.92892,             0.89685,              0.9378,             0.53243,            0.034042,           0.0067307,          0.00036627,            0.003862,            0.003862,            0.003862
                  95,            0.023302,           0.0073153,           0.0002654,             0.87774,             0.91149,             0.92737,             0.51651,            0.034344,           0.0069403,          0.00038044,            0.003796,            0.003796,            0.003796
                  96,            0.022757,           0.0063733,          0.00026577,             0.90499,             0.87297,             0.92211,             0.53459,            0.033936,           0.0067416,          0.00039296,             0.00373,             0.00373,             0.00373
                  97,            0.022999,           0.0068316,          0.00029914,             0.90679,             0.88783,             0.91639,             0.50918,            0.034968,           0.0067804,          0.00040898,            0.003664,            0.003664,            0.003664
                  98,            0.022446,           0.0068389,          0.00030242,             0.87765,             0.92803,             0.92713,             0.49847,            0.035819,           0.0069475,          0.00040768,            0.003598,            0.003598,            0.003598
                  99,            0.022872,           0.0068157,          0.00028525,             0.89297,             0.90214,             0.91661,             0.50977,            0.034977,           0.0068594,          0.00037454,            0.003532,            0.003532,            0.003532
                 100,            0.022889,           0.0063619,          0.00026386,             0.88365,             0.89425,             0.92567,             0.49264,            0.035494,             0.00698,          0.00037745,            0.003466,            0.003466,            0.003466
                 101,            0.022004,           0.0065719,          0.00025857,             0.88496,             0.88897,             0.91206,             0.50129,            0.035458,           0.0070335,          0.00036309,              0.0034,              0.0034,              0.0034
                 102,              0.0225,           0.0070423,          0.00025315,             0.86597,             0.91982,             0.91236,             0.49446,             0.03487,            0.006937,          0.00033535,            0.003334,            0.003334,            0.003334
                 103,            0.022032,           0.0067419,          0.00022864,             0.88593,             0.91565,             0.91809,             0.52687,            0.034461,           0.0068829,          0.00033083,            0.003268,            0.003268,            0.003268
                 104,            0.021009,           0.0067006,          0.00026374,             0.90028,             0.88964,             0.92925,             0.52277,            0.034571,           0.0067511,          0.00035959,            0.003202,            0.003202,            0.003202
                 105,            0.021355,           0.0064849,          0.00024304,             0.88718,             0.89895,             0.93206,             0.52207,            0.035431,           0.0069807,          0.00035726,            0.003136,            0.003136,            0.003136
                 106,            0.020639,           0.0067006,          0.00023461,             0.88733,             0.91149,             0.92439,             0.52337,            0.034843,           0.0069492,           0.0003504,             0.00307,             0.00307,             0.00307
                 107,            0.021482,           0.0064241,          0.00024097,             0.88493,             0.89482,             0.91188,             0.50836,            0.036297,           0.0070508,          0.00035999,            0.003004,            0.003004,            0.003004
                 108,            0.020514,            0.006346,          0.00023312,             0.90896,             0.90195,              0.9209,             0.49986,            0.035668,           0.0069334,          0.00035207,            0.002938,            0.002938,            0.002938
